Date,Traded Contract(Lots),Quantity (000's),Total Value (Lacs),Instrument Type
03-Oct-11,384,9.60,1773.14,FUTCOM
04-Oct-11,603,15.08,2782.83,FUTCOM
05-Oct-11,403,10.08,1850.26,FUTCOM
06-Oct-11,0,0.00,0.00,FUTCOM
07-Oct-11,192,4.80,884.20,FUTCOM
08-Oct-11,50,1.25,227.57,FUTCOM
10-Oct-11,411,10.28,1887.34,FUTCOM
11-Oct-11,263,6.58,1207.21,FUTCOM
12-Oct-11,605,15.13,2769.36,FUTCOM
13-Oct-11,524,13.10,2420.43,FUTCOM
14-Oct-11,274,6.85,1278.91,FUTCOM
15-Oct-11,152,3.80,698.76,FUTCOM
17-Oct-11,348,8.70,1594.68,FUTCOM
18-Oct-11,394,9.85,1811.00,FUTCOM
19-Oct-11,215,5.38,994.25,FUTCOM
20-Oct-11,252,6.30,1163.95,FUTCOM
21-Oct-11,265,6.63,1219.71,FUTCOM
22-Oct-11,177,4.43,809.46,FUTCOM
24-Oct-11,259,6.48,1188.25,FUTCOM
25-Oct-11,443,11.08,2047.15,FUTCOM
26-Oct-11,172,4.30,793.66,FUTCOM
27-Oct-11,309,7.73,1426.21,FUTCOM
28-Oct-11,310,7.75,1426.26,FUTCOM
29-Oct-11,423,10.58,1938.15,FUTCOM
31-Oct-11,409,10.23,1874.98,FUTCOM
01-Nov-11,700,17.50,3193.11,FUTCOM
02-Nov-11,494,12.35,2252.07,FUTCOM
03-Nov-11,568,14.20,2585.81,FUTCOM
04-Nov-11,422,10.55,1914.09,FUTCOM
05-Nov-11,364,9.10,1632.78,FUTCOM
07-Nov-11,0,0.00,0.00,FUTCOM
08-Nov-11,1061,26.53,4643.35,FUTCOM
09-Nov-11,1028,25.70,4514.54,FUTCOM
10-Nov-11,0,0.00,0.00,FUTCOM
11-Nov-11,733,18.33,3282.31,FUTCOM
12-Nov-11,193,4.83,859.58,FUTCOM
14-Nov-11,800,20.00,3494.28,FUTCOM
15-Nov-11,440,11.00,1934.83,FUTCOM
16-Nov-11,916,22.90,4071.97,FUTCOM
17-Nov-11,1142,28.55,5126.57,FUTCOM
18-Nov-11,678,16.95,3024.98,FUTCOM
19-Nov-11,1010,25.25,4418.99,FUTCOM
21-Nov-11,438,10.95,1919.50,FUTCOM
22-Nov-11,979,24.48,4250.41,FUTCOM
23-Nov-11,1024,25.60,4475.95,FUTCOM
24-Nov-11,557,13.93,2399.08,FUTCOM
25-Nov-11,1012,25.30,4374.30,FUTCOM
26-Nov-11,643,16.08,2703.90,FUTCOM
28-Nov-11,1381,34.53,5719.56,FUTCOM
29-Nov-11,1025,25.63,4259.89,FUTCOM
30-Nov-11,997,24.93,4160.88,FUTCOM
01-Dec-11,796,19.90,3360.11,FUTCOM
02-Dec-11,597,14.93,2513.24,FUTCOM
03-Dec-11,315,7.88,1316.53,FUTCOM
05-Dec-11,786,19.65,3310.96,FUTCOM
06-Dec-11,627,15.68,2645.21,FUTCOM
07-Dec-11,864,21.60,3664.25,FUTCOM
08-Dec-11,672,16.80,2834.35,FUTCOM
09-Dec-11,786,19.65,3309.56,FUTCOM
10-Dec-11,401,10.03,1675.42,FUTCOM
12-Dec-11,660,16.50,2737.75,FUTCOM
13-Dec-11,820,20.50,3375.59,FUTCOM
14-Dec-11,596,14.90,2458.53,FUTCOM
15-Dec-11,371,9.28,1528.68,FUTCOM
16-Dec-11,681,17.03,2820.42,FUTCOM
17-Dec-11,917,22.93,3831.78,FUTCOM
19-Dec-11,1024,25.60,4276.61,FUTCOM
20-Dec-11,859,21.48,3577.60,FUTCOM
21-Dec-11,703,17.58,2895.95,FUTCOM
22-Dec-11,1101,27.53,4473.98,FUTCOM
23-Dec-11,862,21.55,3530.48,FUTCOM
24-Dec-11,537,13.43,2212.59,FUTCOM
26-Dec-11,855,21.38,3525.50,FUTCOM
27-Dec-11,1070,26.75,4468.66,FUTCOM
28-Dec-11,759,18.98,3201.14,FUTCOM
29-Dec-11,1070,26.75,4620.24,FUTCOM
30-Dec-11,1234,30.85,5243.33,FUTCOM
31-Dec-11,455,11.38,1920.44,FUTCOM
02-Jan-12,570,14.25,2452.84,FUTCOM
03-Jan-12,1197,29.93,5249.91,FUTCOM
04-Jan-12,1241,31.03,5539.42,FUTCOM
05-Jan-12,747,18.68,3291.24,FUTCOM
06-Jan-12,538,13.45,2383.49,FUTCOM
07-Jan-12,505,12.63,2266.37,FUTCOM
09-Jan-12,1084,27.10,5018.20,FUTCOM
10-Jan-12,987,24.68,4510.72,FUTCOM
11-Jan-12,982,24.55,4398.04,FUTCOM
12-Jan-12,852,21.30,3880.77,FUTCOM
13-Jan-12,875,21.88,3974.39,FUTCOM
14-Jan-12,635,15.88,2917.55,FUTCOM
16-Jan-12,1273,31.83,5934.94,FUTCOM
17-Jan-12,1090,27.25,5022.47,FUTCOM
18-Jan-12,984,24.60,4499.56,FUTCOM
19-Jan-12,667,16.68,3069.29,FUTCOM
20-Jan-12,718,17.95,3260.65,FUTCOM
21-Jan-12,569,14.23,2566.38,FUTCOM
23-Jan-12,1031,25.78,4689.85,FUTCOM
24-Jan-12,853,21.33,3918.46,FUTCOM
25-Jan-12,841,21.03,3811.70,FUTCOM
27-Jan-12,1071,26.78,4759.07,FUTCOM
28-Jan-12,369,9.23,1631.94,FUTCOM
30-Jan-12,967,24.18,4394.67,FUTCOM
31-Jan-12,804,20.10,3644.46,FUTCOM
01-Feb-12,510,12.75,2293.34,FUTCOM
02-Feb-12,548,13.70,2462.12,FUTCOM
03-Feb-12,620,15.50,2787.86,FUTCOM
04-Feb-12,281,7.03,1274.65,FUTCOM
06-Feb-12,897,22.43,4147.26,FUTCOM
07-Feb-12,624,15.60,2860.84,FUTCOM
08-Feb-12,716,17.90,3283.22,FUTCOM
09-Feb-12,581,14.53,2675.49,FUTCOM
10-Feb-12,636,15.90,2890.67,FUTCOM
11-Feb-12,248,6.20,1129.46,FUTCOM
13-Feb-12,679,16.98,3073.66,FUTCOM
14-Feb-12,896,22.40,3990.32,FUTCOM
15-Feb-12,463,11.58,2071.45,FUTCOM
16-Feb-12,560,14.00,2507.73,FUTCOM
17-Feb-12,517,12.93,2327.48,FUTCOM
18-Feb-12,236,5.90,1060.54,FUTCOM
20-Feb-12,0,0.00,0.00,FUTCOM
21-Feb-12,595,14.88,2655.49,FUTCOM
22-Feb-12,850,21.25,3745.38,FUTCOM
23-Feb-12,901,22.53,3897.59,FUTCOM
24-Feb-12,1064,26.60,4556.31,FUTCOM
25-Feb-12,770,19.25,3309.75,FUTCOM
27-Feb-12,934,23.35,3952.57,FUTCOM
28-Feb-12,1704,42.60,7336.35,FUTCOM
29-Feb-12,860,21.50,3705.41,FUTCOM
01-Mar-12,1032,25.80,4477.99,FUTCOM
02-Mar-12,1385,34.63,6101.62,FUTCOM
03-Mar-12,678,16.95,2952.26,FUTCOM
05-Mar-12,369,9.23,1539.50,FUTCOM
06-Mar-12,2731,68.28,11342.52,FUTCOM
07-Mar-12,1538,38.45,6556.51,FUTCOM
08-Mar-12,0,0.00,0.00,FUTCOM
09-Mar-12,1066,26.65,4578.13,FUTCOM
10-Mar-12,477,11.93,2014.16,FUTCOM
12-Mar-12,1305,32.63,5569.51,FUTCOM
13-Mar-12,749,18.73,3162.22,FUTCOM
14-Mar-12,1005,25.13,4317.84,FUTCOM
15-Mar-12,626,15.65,2658.49,FUTCOM
16-Mar-12,1068,26.70,4579.28,FUTCOM
17-Mar-12,838,20.95,3686.29,FUTCOM
19-Mar-12,1085,27.13,4596.84,FUTCOM
20-Mar-12,869,21.73,3664.70,FUTCOM
21-Mar-12,785,19.63,3325.00,FUTCOM
22-Mar-12,923,23.08,3927.13,FUTCOM
23-Mar-12,1156,28.90,4955.47,FUTCOM
24-Mar-12,395,9.88,1701.12,FUTCOM
26-Mar-12,579,14.48,2496.78,FUTCOM
27-Mar-12,1101,27.53,4794.41,FUTCOM
28-Mar-12,943,23.58,4071.47,FUTCOM
29-Mar-12,1092,27.30,4829.96,FUTCOM
30-Mar-12,1394,34.85,6174.80,FUTCOM
31-Mar-12,641,16.03,2846.23,FUTCOM
02-Apr-12,383,9.58,1702.71,FUTCOM
03-Apr-12,394,9.85,1757.32,FUTCOM
04-Apr-12,685,17.13,3046.52,FUTCOM
05-Apr-12,0,0.00,0.00,FUTCOM
07-Apr-12,1186,29.65,5176.85,FUTCOM
09-Apr-12,1050,26.25,4588.63,FUTCOM
10-Apr-12,1603,40.08,6917.33,FUTCOM
11-Apr-12,1147,28.68,4866.26,FUTCOM
12-Apr-12,2469,61.73,10637.88,FUTCOM
13-Apr-12,1161,29.03,5009.18,FUTCOM
16-Apr-12,686,17.15,2939.71,FUTCOM
17-Apr-12,1676,41.90,7145.20,FUTCOM
18-Apr-12,1286,32.15,5498.13,FUTCOM
19-Apr-12,1569,39.23,6627.43,FUTCOM
20-Apr-12,1561,39.03,6676.28,FUTCOM
21-Apr-12,849,21.23,3636.68,FUTCOM
23-Apr-12,1298,32.45,5590.56,FUTCOM
24-Apr-12,1236,30.90,5302.75,FUTCOM
25-Apr-12,1375,34.38,5926.61,FUTCOM
26-Apr-12,1580,39.50,6837.81,FUTCOM
27-Apr-12,1076,26.90,4675.98,FUTCOM
28-Apr-12,947,23.68,4126.68,FUTCOM
30-Apr-12,2513,62.83,11205.94,FUTCOM
01-May-12,0,0.00,0.00,FUTCOM
02-May-12,1576,39.40,7076.54,FUTCOM
03-May-12,1429,35.73,6449.00,FUTCOM
04-May-12,1794,44.85,8143.14,FUTCOM
05-May-12,1055,26.38,4793.45,FUTCOM
07-May-12,1517,37.93,6794.04,FUTCOM
08-May-12,1663,41.58,7315.39,FUTCOM
09-May-12,1114,27.85,4873.85,FUTCOM
10-May-12,1018,25.45,4473.03,FUTCOM
11-May-12,2362,59.05,10079.56,FUTCOM
12-May-12,1167,29.18,4937.89,FUTCOM
14-May-12,1406,35.15,5894.78,FUTCOM
15-May-12,2243,56.08,9522.60,FUTCOM
16-May-12,1433,35.83,6063.68,FUTCOM
17-May-12,1201,30.03,5063.34,FUTCOM
